rbp,cell_line,binding_class,bandwidth_nt,merge_distance_nt,high_precision_mode,use_input_covariate,force_width,cluster_gap_width,min_region_length_nt,min_crosslink_events,composite,reproducibility,motif_hit_rate,motif_enrichment,reference_recall,n_sites,proposer,scope,n_trials_in_run,encode_ip1,encode_ip2,encode_sminput,source,caveats
HNRNPK,HepG2,degenerate,70,12,1,1,11,7,3,6,0.367,0.5,0.367,1.57,0.1,30,optuna,chr21,22,ENCFF198ISB,ENCFF553XCL,ENCFF019JFZ,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
HNRNPK,K562,degenerate,63,10,0,0,11,8,3,5,0.375,0.583,0.333,4.0,0.0,12,optuna,chr21,28,ENCFF894NKS,ENCFF405ESF,ENCFF399CEH,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
PUM1,K562,crisp,66,4,0,1,8,12,3,4,0.393,0.643,0.286,1.33,0.0,14,optuna,chr21,33,ENCFF064COB,ENCFF583QFB,ENCFF222HEX,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
PUM2,K562,crisp,80,10,0,1,9,8,3,4,0.383,0.381,0.571,6.0,0.2,21,llm_noprior,chr21,30,ENCFF231WHF,ENCFF732EQX,ENCFF786ZZB,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
QKI,HepG2,crisp,70,11,0,1,10,14,3,3,0.402,0.381,0.595,3.12,0.25,84,optuna,chr21,16,,,,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
QKI,K562,crisp,35,12,0,1,7,8,3,2,0.332,0.364,0.5,10.99,0.1,22,llm,chr21,53,ENCFF698BKX,ENCFF012WMS,ENCFF070RME,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
RBFOX2,HepG2,crisp,21,12,1,0,15,7,3,2,0.5,0.469,0.163,3.5,0.9,644,optuna,chr21,21,ENCFF239CML,ENCFF170YQV,ENCFF515BTB,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
RBFOX2,K562,crisp,20,12,1,0,15,7,3,2,0.219,0.135,0.255,2.06,0.35,282,optuna,chr21,18,,,,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
SF3B4,HepG2,positional,50,8,0,1,9,8,3,3,0.46,0.476,0.189,3.87,0.7,164,llm,chr21,19,ENCFF040BYE,ENCFF483VLR,ENCFF072CLZ,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
SF3B4,K562,positional,20,12,1,0,15,7,3,2,0.399,0.433,0.232,2.11,0.5,164,optuna,chr21,26,ENCFF095KWC,ENCFF173BOO,ENCFF735PKL,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
SRSF1,HepG2,degenerate,68,15,1,0,13,6,3,6,0.349,0.414,0.069,8.02,0.5,116,optuna,chr21,21,ENCFF867TIG,ENCFF418ZXO,ENCFF467FPH,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
SRSF1,K562,degenerate,98,6,1,1,10,15,3,6,0.225,0.319,0.213,9.99,0.05,47,optuna,chr21,24,ENCFF595NHE,ENCFF369EUU,ENCFF241WHP,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
U2AF2,HepG2,positional,98,6,1,1,10,15,3,6,0.425,0.467,0.667,5.0,0.1,15,optuna,chr21,19,ENCFF358STL,ENCFF033XVX,ENCFF825YLL,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
U2AF2,K562,positional,75,16,1,1,11,13,3,6,0.547,0.461,0.517,2.91,0.75,180,optuna,chr21,29,ENCFF835KXL,ENCFF936JSP,ENCFF227TON,ML4rg_group08_2026 (iterations_snapshot.jsonl),chr21-only; single run; not genome-wide validated
